grid_size,cells/sec
450,1.13213e+06
451,1.14008e+06
452,1.44504e+06
453,1.1599e+06
454,1.20173e+06
455,1.05254e+06
456,1.12237e+06
457,984937
458,1.14326e+06
459,1.03942e+06
460,1.51316e+06
461,1.05628e+06
462,1.41011e+06
463,1.00412e+06
464,1.13289e+06
465,1.20993e+06
466,1.55344e+06
467,1.07692e+06
468,930988
469,1.28658e+06
470,1.22487e+06
471,1.1283e+06
472,1.14689e+06
473,1.05902e+06
474,1.0831e+06
475,1.08757e+06
476,1.12026e+06
477,923567
478,1.10244e+06
479,995784
480,1.20509e+06
481,1.13857e+06
482,1.31048e+06
483,1.20137e+06
484,1.41889e+06
485,1.29857e+06
486,1.1487e+06
487,1.34882e+06
488,1.14555e+06
489,1.15114e+06
490,1.44473e+06
491,1.23052e+06
492,1.6434e+06
493,1.5634e+06
494,1.43048e+06
495,1.54062e+06
496,1.31068e+06
497,1.18511e+06
498,1.11985e+06
499,1.09921e+06
500,1.19652e+06
501,1.18673e+06
502,1.63019e+06
503,1.28222e+06
504,1.46287e+06
505,1.27544e+06
506,1.1195e+06
507,1.04091e+06
508,1.41762e+06
509,1.1347e+06
510,1.1967e+06
511,1.22759e+06
512,1.19084e+06
513,1.48244e+06
514,1.2038e+06
515,1.07293e+06
516,1.21836e+06
517,1.03925e+06
518,1.1532e+06
519,1.23429e+06
520,1.04411e+06
521,1.09656e+06
522,994428
523,1.11276e+06
524,1.38576e+06
525,1.16468e+06
526,1.27866e+06
527,1.08169e+06
528,1.05691e+06
529,999204
530,1.15852e+06
531,1.23918e+06
532,1.15539e+06
533,1.0809e+06
534,1.28486e+06
535,1.12354e+06
536,1.04097e+06
537,1.18689e+06
538,1.45506e+06
539,1.17228e+06
540,1.06291e+06
541,1.01499e+06
542,1.22796e+06
543,1.36448e+06
544,1.62202e+06
545,1.51758e+06
546,1.11029e+06
547,1.11185e+06
548,1.16886e+06
549,1.1625e+06
550,1.11809e+06
551,1.27784e+06
552,1.17557e+06
553,1.2844e+06
554,1.12337e+06
555,1.03672e+06
556,1.15772e+06
557,1.4903e+06
558,1.54834e+06
559,1.05927e+06
560,1.47007e+06
561,1.32231e+06
562,1.14729e+06
563,1.374e+06
564,1.10799e+06
565,1.4845e+06
566,1.26673e+06
567,1.11547e+06
568,1.22669e+06
569,1.32747e+06
570,1.34832e+06
571,1.45843e+06
572,1.01309e+06
573,1.08727e+06
574,1.20885e+06
575,1.25962e+06
576,1.09357e+06
577,1.60783e+06
578,1.26382e+06
579,1.37859e+06
580,1.19991e+06
581,1.1423e+06
582,1.09035e+06
583,1.12169e+06
584,1.16431e+06
585,1.31372e+06
586,1.3198e+06
587,1.37883e+06
588,1.32075e+06
589,1.49374e+06
590,1.43854e+06
591,1.34597e+06
592,1.3768e+06
593,1.61844e+06
594,1.11552e+06
595,998976
596,1.28425e+06
597,1.34657e+06
598,1.09969e+06
599,1.17746e+06
600,1.49686e+06
601,1.38872e+06
602,1.51271e+06
603,1.38868e+06
604,1.39769e+06
605,1.12651e+06
606,1.0219e+06
607,1.17947e+06
608,1.36586e+06
609,1.23045e+06
